tag,text
HEADWORD,abandon to
DEFINITION,to feel an emotion so strongly that you do not think about anything else
EXAMPLE,She hid her face and abandoned herself to grief.
HEADWORD,abide by
DEFINITION,"to accept a rule, decision, or instruction and obey it"
EXAMPLE,They promised to abide by the rules of the contest.
HEADWORD,abound in
DEFINITION,to be filled with or contain a lot of something
EXAMPLE,The markets abound with imported goods.
HEADWORD,absolve from
DEFINITION,to state officially that someone should not be blamed for something or is not responsible for something
EXAMPLE,The report absolves the pilot from any blame for the crash. 
HEADWORD,be absorbed in
DEFINITION,to be so interested or involved in something that you do not notice anything else
EXAMPLE,Phil has been absorbed in his work all morning.
HEADWORD,abstain from
DEFINITION,"to deliberately avoid doing something that is enjoyable but may not be healthy, safe, or morally right"
EXAMPLE,A high percentage of women said they had abstained from alcohol during pregnancy. 
HEADWORD,accede to
DEFINITION,"to do what someone wants, or to agree with what they say"
EXAMPLE,They were forced to accede to all of the hijackers' demands. 
HEADWORD,accommodate to
DEFINITION,to change your attitudes and behaviour in order to deal with a new situation
EXAMPLE,Some colleagues were reluctant to accommodate to new ways of working. 
HEADWORD,accord with
DEFINITION,"to be very similar to something, or to be suitable in relation to something"
EXAMPLE,Hemming's account does not accord with the police evidence. 
HEADWORD,account for
DEFINITION,to be the reason why something exists or happens
EXAMPLE,A number of factors account for the differences between the two scores. 
HEADWORD,accustom to
DEFINITION,to gradually start to feel that something is normal or natural
EXAMPLE,He was accustomed to living without electricity. 
HEADWORD,ace out
DEFINITION,"to be much better than someone else, or to defeat someone in a competition"
EXAMPLE,Odelay aced out Clapton for the best performance.
HEADWORD,ache for
DEFINITION,to want very much to do or have something
EXAMPLE,I was aching for the sound of her voice.
HEADWORD,acknowledge as
DEFINITION,to recognize the true character or importance of someone or something
EXAMPLE,Wimbledon is widely acknowledged as being the premier tennis tournament.
HEADWORD,acquaint with
DEFINITION,to know or learn about something
EXAMPLE,Are we all acquainted with the details of the case? 
HEADWORD,act as
DEFINITION,to do the job of a particular type of person or thing
EXAMPLE,You speak Greek - will you act as interpreter? 
HEADWORD,act on
DEFINITION,"to do something because you have been given information, advice, or orders"
EXAMPLE,I'm acting on the advice of my lawyers. 
HEADWORD,act out
DEFINITION,to show the events that happened in a situation by doing them again or doing the same things as the people involved
EXAMPLE,The girls were asked to act out the events of that night. 
HEADWORD,add in
DEFINITION,"to add something, or to add more of something"
EXAMPLE,We need to add in some information about his family. 
HEADWORD,add on
DEFINITION,to include an extra thing or amount in something
EXAMPLE,The referee added on eight minutes of injury time. 
HEADWORD,add to
DEFINITION,to make something such as a feeling or quality greater or more extreme
EXAMPLE,The arrival of five more guests only added to the confusion. 
HEADWORD,add up
DEFINITION,to calculate the total of several numbers or amounts
EXAMPLE,I'm not very good at adding up in my head. 
HEADWORD,address as
DEFINITION,to call someone by a particular name or title when you speak to them
EXAMPLE,She prefers to be addressed as Lady Black. 
HEADWORD,address by
DEFINITION,to use a particular name when you speak to someone
EXAMPLE,We were all addressed by our last names. 
HEADWORD,address to
DEFINITION,"to officially direct your complaints, questions, or comments to a particular person or organization"
EXAMPLE,All further inquiries should be addressed to your course professor. 
HEADWORD,adhere to
DEFINITION,"to obey a rule, law, agreement etc"
EXAMPLE,We must strictly adhere to the terms of the contract. 
HEADWORD,adjourn to
DEFINITION,to leave one place and move to another
EXAMPLE,Let's adjourn to the bar.
HEADWORD,admit of
DEFINITION,to make it possible for something to happen or be allowed
EXAMPLE,The incident may admit of another explanation.
HEADWORD,advise against
DEFINITION,to tell someone that you think they should not do something
EXAMPLE,The police are advising against travelling in this weather. 
HEADWORD,advise of
DEFINITION,to tell someone about something
EXAMPLE,They advised me of the best route to take home. 
HEADWORD,be affiliated to
DEFINITION,to be officially connected with a larger organization or group
EXAMPLE,The local youth group was affiliated to the national party.
HEADWORD,agonize over
DEFINITION,to spend a long time making a decision because you are worried that you might not make the right one
EXAMPLE,For years I agonized over whether I should have told her.
HEADWORD,alert to
DEFINITION,to tell someone about something that might affect them
EXAMPLE,Something in his voice alerted Paige to the real danger.
HEADWORD,alight on
DEFINITION,to suddenly notice or think of something
EXAMPLE,Her eyes alighted on an extraordinary sight.
HEADWORD,align with
DEFINITION,"to give your support publicly to a group, political party, or country"
EXAMPLE,The union's leaders are aligned with the ruling party and the military. 
HEADWORD,allow for
DEFINITION,to consider something when making a plan or calculation
EXAMPLE,"The cost of the new road, allowing for inflation, is around £17 million. "
HEADWORD,allow of
DEFINITION,to show that something is possible
EXAMPLE,The evidence allows of no other interpretation.
HEADWORD,allude to
DEFINITION,to mention someone or something in an indirect way
EXAMPLE,She made no mention of the problem she alluded to earlier.
HEADWORD,amalgamate with
DEFINITION,"to join two or more organizations, businesses etc and make a single large one"
EXAMPLE,They were amalgamated with the Miners' Union. 
HEADWORD,amount to
DEFINITION,"to be the same as something else, or to have a very similar effect to something else"
EXAMPLE,"They're not calling the operation an attack, but it amounts to the same thing. "
HEADWORD,angle for
DEFINITION,to try to make someone give you something without asking for it directly
EXAMPLE,She didn't want Ron thinking she was angling for sympathy.
HEADWORD,answer back
DEFINITION,to reply rudely to someone who has more authority than you
EXAMPLE,Don't you dare answer me back! 
HEADWORD,answer for
DEFINITION,to agree to be responsible for something
EXAMPLE,If we allow you to have a party at home you'll have to answer for any damage that happens! 
HEADWORD,answer to
DEFINITION,to have to explain to someone why you did something
EXAMPLE,I answer to no one except myself. 
HEADWORD,ante up
DEFINITION,"to pay an amount of money, usually an amount that you owe, or your share of an amount that other people are also paying"
EXAMPLE,Tell the other boys to ante up. 
HEADWORD,appeal for
DEFINITION,"to make an urgent request for people to give you something that you need such as help, money, or information"
EXAMPLE,"Once again, the country was appealing for emergency aid. "
HEADWORD,appertain to
DEFINITION,to affect or be relevant to a particular person or thing
EXAMPLE,We would especially remind you of the particular regulations appertaining to the army.
HEADWORD,apply to
DEFINITION,to affect or be relevant to a particular person or thing
EXAMPLE,The discount no longer applies to him because he's over eighteen. 
HEADWORD,apprise of
DEFINITION,to tell someone about something
EXAMPLE,It was my role to apprise them of the current situation.
HEADWORD,argue into
DEFINITION,to persuade someone to do something
EXAMPLE,They might be able to argue him into accepting. 
HEADWORD,argue out of
DEFINITION,to persuade someone not to do something
EXAMPLE,I argued the bank out of making a decision immediately. 
HEADWORD,be arrayed in
DEFINITION,to be dressed in clothes of a particular type
EXAMPLE,The soldiers were arrayed in Hungarian national dress.
HEADWORD,arrive at
DEFINITION,"to reach a result, decision, or solution to a problem"
EXAMPLE,How did they arrive at that figure? 
HEADWORD,ascribe to
DEFINITION,to believe that something is the cause of something else
EXAMPLE,Their defeat was ascribed to a poor defence. 
HEADWORD,ask after
DEFINITION,to ask for news about someone
EXAMPLE,I met Bob and he asked after you.
HEADWORD,ask along
DEFINITION,to invite someone to go somewhere with you or do something with you
EXAMPLE,It was generous of them to ask her along.
HEADWORD,ask around
DEFINITION,to ask several people for information or advice
EXAMPLE,"I asked around, but nobody had seen him for days."
HEADWORD,ask back
DEFINITION,"to ask someone to come to your home, especially after you have both been somewhere together"
EXAMPLE,I'd like to ask you back but my parents are at home. 
HEADWORD,ask for
DEFINITION,to speak or write to someone because you want them to give you something
EXAMPLE,He's always reluctant to ask for anyone's help. 
HEADWORD,ask in
DEFINITION,"to invite someone who has called to see you to come into your house, your room etc"
EXAMPLE,She decided not to ask him in. 
HEADWORD,ask out
DEFINITION,"to invite someone to go with you to a cinema, restaurant etc because you want to start a romantic or sexual relationship with them"
EXAMPLE,Finally he asked her out. 
HEADWORD,ask over
DEFINITION,"to invite someone to come to your house, for example to have a meal"
EXAMPLE,None of the neighbours has ever asked us over. 
HEADWORD,ask to
DEFINITION,to invite someone to do something or go somewhere with you
EXAMPLE,How many people have you asked to the party?
HEADWORD,aspire to
DEFINITION,"to want to achieve something, or want to be successful, especially in your career"
EXAMPLE,She aspires to nothing less than the chairmanship of the company. 
HEADWORD,assign to
DEFINITION,"to send someone to a particular place, especially in order for them to work there"
EXAMPLE,He was assigned to the company's branch in Cairo.
HEADWORD,associate with
DEFINITION,to spend time with someone
EXAMPLE,"While she was in Paris, she associated with many well-known artists. "
HEADWORD,atone for
DEFINITION,to show that you are sorry for doing something bad or wrong
EXAMPLE,Gifts are an excellent way of atoning for sins.
HEADWORD,attach to
DEFINITION,to believe that something has a certain meaning or importance
EXAMPLE,I don't think you should attach too much importance to their comments. 
HEADWORD,attend to
DEFINITION,to deal with something
EXAMPLE,We still have a number of other matters to attend to. 
HEADWORD,attest to
DEFINITION,to show or prove that something is true
EXAMPLE,These results attest to the efficiency of the system.
HEADWORD,attribute to
DEFINITION,"to believe that something is the result of a particular situation, event, or fact"
EXAMPLE,His election defeat was attributed by many people to his policy on tax cuts. 
HEADWORD,be attuned to
DEFINITION,to be familiar with something and able to deal with it in a sensitive way
EXAMPLE,The company needs people who are attuned to today's youth culture.
HEADWORD,auction off
DEFINITION,to sell something at an auction
EXAMPLE,Watching my family's possessions being auctioned off was more painful than I'd expected. 
HEADWORD,avenge on
DEFINITION,"to react to something wrong that has been done to you, your family, or your friends by punishing the person who did it"
EXAMPLE,They began to avenge themselves on their neighbours.
HEADWORD,average out
DEFINITION,to calculate the average of a set of numbers or amounts
EXAMPLE,The total amount is averaged out on a daily basis. 
HEADWORD,average out at
DEFINITION,to have a particular number or amount as an average
EXAMPLE,"Total contributions average out at over £1,000 a week."
HEADWORD,awaken to
DEFINITION,to begin to notice something
EXAMPLE,It took them many years to awaken to the dangers they were facing.
HEADWORD,back away
DEFINITION,"to move backwards and away from someone, for example because you are afraid"
EXAMPLE,She moved towards me and I began backing away. 
HEADWORD,back down
DEFINITION,"to stop asking for something, or to stop saying that you will do something, because a lot of people oppose you"
EXAMPLE,Neither side will back down because both believe they are right. 
HEADWORD,back off
DEFINITION,to move backwards in order to get further away from something
EXAMPLE,Everyone back off and let the doctor through. 
HEADWORD,back out
DEFINITION,to decide not to do something that you agreed to do
EXAMPLE,I promised to help and I'm not backing out now. 
HEADWORD,back up
DEFINITION,to give support to someone by saying or showing that you agree with them
EXAMPLE,If I ask for more money will you back me up? 
HEADWORD,bag up
DEFINITION,to put things into bags
EXAMPLE,They'll only accept coins that have been bagged up. 
HEADWORD,bail out
DEFINITION,"to help a person or organization that is having problems, especially financial problems"
EXAMPLE,It's wrong to expect businesses to bail out schools. 
HEADWORD,balance against
DEFINITION,to create or keep a good or correct balance between the different parts or features of something
EXAMPLE,Economic development has to be balanced against environmental concerns. 
HEADWORD,balance out
DEFINITION,"to change, increase, or reduce one of the parts of something with the result that another part is not too strong, noticeable etc"
EXAMPLE,The tangy fruit balances out the creaminess of the sauce. 
HEADWORD,balance up
DEFINITION,to make two different things equal in amount or value
EXAMPLE,We need to balance up inequality of treatment between men and women.
HEADWORD,band together
DEFINITION,to come together as a group in order to achieve something
EXAMPLE,The various opposition groups have banded together to form a single party.
HEADWORD,bandage up
DEFINITION,to wrap a bandage around an injured part of your body
EXAMPLE,My fingers were all bandaged up. 
HEADWORD,bandy around
DEFINITION,"to mention something a lot, usually without thinking much about what you are saying"
EXAMPLE,I don't want people bandying my name around in public. 
HEADWORD,bang around
DEFINITION,to make a lot of noise as you move around in a place
EXAMPLE,I could hear them banging around in the kitchen. 
HEADWORD,bang away
DEFINITION,"to make a lot of noise as you do something, especially as you play music"
EXAMPLE,I could hear him banging away upstairs. 
HEADWORD,bang down
DEFINITION,"to put something on a surface with a lot of force, making a loud noise"
EXAMPLE,Kathy yelled and then banged the phone down. 
HEADWORD,bang on
DEFINITION,to talk about something for a long time in a boring and annoying way
EXAMPLE,She banged on a bit longer. 
HEADWORD,bang out
DEFINITION,to play a tune on the piano very loudly and not very well
EXAMPLE,He banged out loud blues songs all night. 
HEADWORD,bang up
DEFINITION,to put someone in prison
EXAMPLE,He spent seven years banged up in a prison cell. 
HEADWORD,banish from
DEFINITION,to make someone stop thinking about something or having particular feelings
EXAMPLE,The fear was banished from his heart. 
HEADWORD,banish to
DEFINITION,to make someone go somewhere else
EXAMPLE,We were banished to our rooms.
HEADWORD,bank on
DEFINITION,to depend on something happening or on someone doing something
EXAMPLE,We're banking on good weather for tomorrow. 
HEADWORD,bank up
DEFINITION,to make something into a pile
EXAMPLE,Soil was banked up against the wall. 
HEADWORD,bank with
DEFINITION,to have a bank account with a particular bank
EXAMPLE,Who do you bank with? 
HEADWORD,bargain for
DEFINITION,"different from what you expected, especially different in a worse way"
EXAMPLE,It look a lot more time than we bargained for.
HEADWORD,bargain on
DEFINITION,"to expect something to happen, often when something else depends on it"
EXAMPLE,We'd bargained on finding them quickly. 
HEADWORD,barge in
DEFINITION,"to enter a room suddenly and noisily, usually interrupting someone in a rude way"
EXAMPLE,The kids just barge in without knocking. 
HEADWORD,bark out
DEFINITION,to say or shout something in a loud angry voice
EXAMPLE,A man was barking out instructions.
HEADWORD,base in
DEFINITION,"to have somewhere as your main office or place of work, or the place where you live"
EXAMPLE,Many well-known research companies are based in London. 
HEADWORD,base on
DEFINITION,"to use particular ideas or facts to make a decision, do a calculation, or develop a theory"
EXAMPLE,Prices are based on two people sharing a room. 
HEADWORD,bash about
DEFINITION,to treat someone or something roughly or violently
